OSKMcMycOpen,BSGMcMycOpen,GETMcMycOpen,GETME_EScMycOpen,GETME_TScMycOpen,OSKMcMycClose,BSGMcMycClose,GETMcMycClose,GETME_EScMycClose,GETME_TScMycClose
Abcf1,Adpgk,Acap2,Acad9,Abi2,Arnt,,Aff2,Alx1,Ak2
Abcg1,Adprh,Acat1,Acads,Abi3,Arnt2,,Aff3,Alx3,Akap11
Abcg2,Adprhl2,Acbd3,Acap2,Abi3bp,Arntl,,Aff4,Ammecr1,Akap12
Abhd11,Adrb2,Aco1,Acap3,Ablim1,Arpc5,,Afg3l2,Amot,Akap6
Abhd12,Adrbk1,Acot1,Acat1,Ablim2,Arpp21,,Aftph,Amotl1,Akap7
Abhd14a,Adrm1,Acp6,Acbd3,Abr,Arrdc2,,Agbl3,Amotl2,Akt3
Abhd14b,Aebp2,Acsf2,Acer2,Abracl,Arrdc3,,Agfg1,Anapc7,Alcam
Abhd16a,Aff1,Acsl4,Acot11,Acaa2,Arrdc4,,Agl,Angpt2,Aldh1a2
Abhd17c,Aff4,Acsl5,Acot2,Acad9,Arsb,,Agpat4,Ank,Aldh9a1
Abhd2,Afg3l1,Actb,Acox1,Acadl,Asap1,,Agpat5,Ank1,Alk
Abhd6,Afmid,Actg1,Acp6,Acads,Asap2,,Agpat6,Ankfy1,Alx1
Abl1,Agap1,Actl6a,Acsf2,Acap2,Asic1,,Agps,Ankib1,Alx3
Abl2,Agfg1,Actn1,Acss2,Acat1,Astn2,,Ahr,Ankmy2,Amer2
Ablim1,Agfg2,Actn4,Actb,Acbd3,Atad3a,,Ahrr,Ankrd32,Ammecr1
Ablim2,Agk,Actr2,Actc1,Acer2,Ate1,,Aig1,Ankrd44,Amot
Ablim3,Ago2,Actr3,Actg1,Acly,Atf7ip,,Aim1,Ankrd50,Amotl1
Abracl,Ago3,Actr3b,Actl6a,Aco1,Atg12,,Ak2,Ankrd55,Amotl2
Abt1,Agpat5,Acvr1,Actn1,Acot11,Atg7,,Ak3,Ankrd6,Anapc7
Acaa1a,Agps,Acvr2a,Actn4,Acox1,Atp10a,,Ak4,Ankrd9,Angpt2
Acaca,Agtpbp1,Acvr2b,Actr2,Acp1,Atp11a,,Akap11,Anks1,Angptl1
Acacb,Ahcy,Acy1,Actr3,Acp6,Atp1b2,,Akap13,Anks1b,Ank
Acad9,Ahcyl2,Adal,Actr3b,Acsf2,Atp5g3,,Akap6,Ano1,Ank1
Acadl,Ahdc1,Adam10,Actr5,Acsl1,Atp5j2,,Akap7,Ano4,Ank2
Acads,Ahi1,Adam11,Actr6,Acss2,Atp5o,,Akr1b8,Ano6,Ankfy1
Acadvl,Aif1l,Adam12,Acvr1,Acta2,Atp8b4,,Alcam,Anp32b,Ankib1
Acap3,Aimp1,Adam15,Acvr2a,Actb,Atpif1,,Aldh1a2,Antxr1,Ankrd44
